Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2019-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,AUT,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,4.741179948,5.219715703,5.05060138,5.288633688,4.419528492,4.342510588,4.315310418,3.776409417,3.361769988,3.01040745,3.155917217,3.132145504,2.3015374,2.623920703,2.850505011,3.37137643,3.604421462,3.585971879,3.416953318,3.263866727,3.71727228,3.84920801,3.613948635,3.344085408,3.561152591,3.978850021,3.92755735,3.465070751,3.258199501,3.080679238,2.899201431,3.119235073,3.426581737,3.331868824,3.012674213,2.84904989,2.581068338,2.674069582,2.506666753,2.284953292,2.589380491,2.674167335,2.822142436,3.37606518,3.462062652,3.485932739,3.156184887,3.931178531,3.913604476,3.812462198,3.310381355,3.149512802,3.329884848,3.201674851,3.322996128,3.01763738,
Azerbaijan,AZE,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.811144501,1.532902235,1.352490732,2.408040686,1.675080795,0.631924148,0.046322536,1.032995938,1.420270823,1.397208151,1.341164378,1.76543091,0.288223643,0.249949967,0.114324818,0.193427809,0.532235223,0.487670935,0.512178022,0.8637974,1.096102249,1.223876753,0.921179843,
Burundi,BDI,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,0.418374716,,,,,,,,,1.585274242,0.849992729,0.430789913,,,,,,,,,,,,,,,,,1.465426439,0.679806857,1.113779324,1.251265518,1.072521307,0.503906781,1.379535125,0.782458626,10.28600626,3.402652442,1.275543546,1.530700348,2.578102401,5.889201252,3.124748198,9.250726762,4.832545603,5.220387519,8.413132248,13.72600116,12.8000576,3.288791128,2.440368006,4.449821369,7.555250453,12.821302,
Belgium,BEL,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,9.733424366,9.838071608,9.826782918,10.11964251,11.76006694,10.88232577,11.18461541,10.60963077,10.33008179,7.416841944,6.362461763,7.562485793,7.967192723,5.114526424,5.552690608,5.495519213,4.928578079,5.379963316,6.531756656,5.157484709,4.695959335,4.963477472,4.886285486,4.709589252,4.055498378,3.816415005,4.851353875,5.309125582,4.222142936,3.685100684,3.523208789,3.298697966,3.356271241,3.625197563,3.185764894,3.263202957,2.950519876,2.746269931,2.826634299,2.627055785,2.280096556,2.143856219,2.552208803,2.633691678,3.541754499,3.692990292,3.343341792,2.748678577,3.663130518,3.79187948,3.665243357,3.01906974,2.706195917,2.718401766,2.49717468,2.630730982,3.128556941,
Benin,BEN,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,0.188999196,0.228890809,0.007894553,0.609783723,0.383987073,13.75576023,2.957475243,0.670467317,0.120669906,0.126441549,0.310373605,0.35557834,0.407421058,,,,,0.227492875,1.146296375,,0.074491907,,,,,,,,,,0.103007012,0.015581334,0.021219203,0.046508926,0.028943892,0.025571435,0.077624066,0.392822814,0.067961835,0.101050206,0.119724508,0.168931912,0.374631625,0.549277175,0.662407467,1.16023297,1.780642722,0.717989245,0.998345623,3.571895604,2.233926825,2.874459185,4.3791754,1.515700942,2.33562508,0.601590333,,
Burkina Faso,BFA,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,3.872190178,3.467596899,1.955266568,1.348950126,1.457816613,0.196106684,0.13267728,0.067747642,0.13378294,0.111221898,0.174483981,0.121379058,0.13869225,0.056734855,0.303907014,0.041583526,0.044654769,0.039458944,0.106403579,0.119324769,0.032067157,0.061346062,,,,,,,,,,,,0.372188417,0.470010515,0.384483472,0.226987416,0.085812867,0.03244724,0.043889357,0.050952516,0.021477474,0.152410368,0.331245686,,0.215814963,0.351751625,0.642089713,1.645350923,1.488858735,0.350560811,2.678482832,8.683428064,7.056242634,9.590725595,16.81469685,,
Bangladesh,BGD,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,0.001803059,0.014921552,0.094757138,0.001772363,,0.048341655,0.073645784,0.029462704,,2.76725E-05,,0.000179562,,,,,0.061663616,0.016268015,,0.000854258,0.030506697,0.002122737,,0.014137138,0.008991218,0.039616264,0.023451666,0.159890242,0.195916548,0.334982177,0.427075721,0.327011505,0.331160499,0.461581725,0.448405716,0.420072097,0.314383682,,0.172115672,,,,
Bulgaria,BGR,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.667021833,11.00318126,9.013922604,9.387701752,12.66705607,10.59328373,9.795190883,10.29226027,12.40837666,14.24917878,20.18678679,17.81904475,16.76016152,15.06253862,16.93443227,18.82292664,17.2309743,16.0108966,14.71516351,14.05839105,11.52979248,14.1959395,13.99774269,
Bahrain,BHR,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,0.073784419,0.058709323,0.86290088,1.210789767,6.901157229,7.217930411,6.847786673,5.876574085,9.358279375,44.5872038,45.80448879,36.63454638,60.34375845,75.12814161,71.81528372,57.35759171,84.18806206,70.14239058,63.40591846,57.29973937,52.82668963,56.1650091,61.50377886,59.41969176,25.06513155,26.30517424,57.04112635,,,,16.17177467,19.62532017,17.46080997,17.27302862,15.32148556,15.22794718,13.81872598,10.8008885,17.08188715,15.36219827,18.09931027,21.44503454,21.09346989,18.34090127,15.04625749,19.47218928,22.77878793,,,
"Bahamas, The",BHS,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,0.746744103,0.663245465,1.403926236,,,,0.322305191,0.763283122,0.942284342,0.604811815,0.867896621,1.65033354,2.001094085,2.755712898,2.536190601,,,,,,,23.09852451,,27.15886875,16.13845561,8.984091343,5.748386882,8.614118561,8.766057986,11.28661197,9.053977827,5.486146618,3.981631445,11.29424243,10.91973537,9.609151221,11.03642017,8.999023607,6.712301808,6.255302925,9.525414918,10.21979284,,,,
